Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,៦.៤.១ តឹ្រមឆ្នាំ២០២៥ប្រជាជនកម្ពុជាគ្រប់រូបនៅទីប្រជុំជនទទួលបានទឹកស្អាតប្រើប្រាស់ប្រកបដោយចីរភាពគុណភាពល្អ និងតម្លៃសមរម្យ,KH,PT,83
2017,៦.៤.១ តឹ្រមឆ្នាំ២០២៥ប្រជាជនកម្ពុជាគ្រប់រូបនៅទីប្រជុំជនទទួលបានទឹកស្អាតប្រើប្រាស់ប្រកបដោយចីរភាពគុណភាពល្អ និងតម្លៃសមរម្យ,KH,PT,85
2018,៦.៤.១ តឹ្រមឆ្នាំ២០២៥ប្រជាជនកម្ពុជាគ្រប់រូបនៅទីប្រជុំជនទទួលបានទឹកស្អាតប្រើប្រាស់ប្រកបដោយចីរភាពគុណភាពល្អ និងតម្លៃសមរម្យ,KH,PT,87
2019,៦.៤.១ តឹ្រមឆ្នាំ២០២៥ប្រជាជនកម្ពុជាគ្រប់រូបនៅទីប្រជុំជនទទួលបានទឹកស្អាតប្រើប្រាស់ប្រកបដោយចីរភាពគុណភាពល្អ និងតម្លៃសមរម្យ,KH,PT,90
2020,៦.៤.១ តឹ្រមឆ្នាំ២០២៥ប្រជាជនកម្ពុជាគ្រប់រូបនៅទីប្រជុំជនទទួលបានទឹកស្អាតប្រើប្រាស់ប្រកបដោយចីរភាពគុណភាពល្អ និងតម្លៃសមរម្យ,KH,PT,93
