Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2005,N_KH_090103_01,KH,T,16908.0
2006,N_KH_090103_01,KH,T,22676.0
2007,N_KH_090103_01,KH,T,26033.0
2008,N_KH_090103_01,KH,T,21985.0
2009,N_KH_090103_01,KH,T,15119.0
2010,N_KH_090103_01,KH,T,17678.0
2011,N_KH_090103_01,KH,T,20083.0
2012,N_KH_090103_01,KH,T,27811.0
2013,N_KH_090103_01,KH,T,31612.0
2014,N_KH_090103_01,KH,T,32666.0
2015,N_KH_090103_01,KH,T,36898.0
2016,N_KH_090103_01,KH,T,46308.0
2017,N_KH_090103_01,KH,T,53856.0
2018,N_KH_090103_01,KH,T,62635.0
2019,N_KH_090103_01,KH,T,72844.0
2020,N_KH_090103_01,KH,T,84718.0
2005,N_KH_090103_02,KH,T,65.0
2006,N_KH_090103_02,KH,T,91.0
2007,N_KH_090103_02,KH,T,398.0
2008,N_KH_090103_02,KH,T,124.0
2009,N_KH_090103_02,KH,T,75.0
2010,N_KH_090103_02,KH,T,0.21
2011,N_KH_090103_02,KH,T,124.0
2012,N_KH_090103_02,KH,T,5.0
2013,N_KH_090103_02,KH,T,62.0
2014,N_KH_090103_02,KH,T,183.0
2015,N_KH_090103_02,KH,T,252.0
2016,N_KH_090103_02,KH,T,153.0
2017,N_KH_090103_02,KH,T,132.0
2018,N_KH_090103_02,KH,T,114.0
2019,N_KH_090103_02,KH,T,99.0
2020,N_KH_090103_02,KH,T,86.0
